"accel" "potenzacv" "massa"
"1" 9.9 136 1490
"2" 10.1 136 1540
"3" 9 170 1540
"4" 10.6 105 1280
"5" 9.4 120 1280
"6" 10.3 120 1280
"7" 7.8 170 1290
"8" 7.7 170 1310
"9" 11.3 105 1310
"10" 6.8 235 1320
"11" 9 140 1320
"12" 11.6 95 1150
"13" 12.9 85 1150
"14" 10.7 105 1090
"15" 12.3 70 1080
"16" 12.3 77 1080
"17" 8.4 135 1145
"18" 7.5 170 1135
"19" 9.9 120 1205
"20" 11.7 86 1040
"21" 6.9 185 1125
"22" 8.9 122 1100
"23" 11.4 90 1140
"24" 10.5 120 1410
"25" 9.3 136 1485
"26" 8.4 163 1475
"27" 8.7 177 1575
"28" 8.1 180 1540
"29" 7.5 245 1670
"30" 5.1 313 1790
"31" 5.5 310 1740
"32" 4.6 420 1895
"33" 9.3 122 1175
"34" 10.7 105 1230
"35" 7.2 180 1250
"36" 8.6 150 1280
"37" 11.6 513 2585
"38" 5.3 340 1655
"39" 8.1 184 1625
"40" 7.9 184 1595
"41" 7 218 1645
"42" 5.9 340 1850
"43" 4.3 560 1870
"44" 5.7 320 1825
"45" 4.8 449 2035
"46" 5.6 485 2450
"47" 7.5 245 2075
"48" 6.7 306 2070
"49" 6.5 306 2110
"50" 5.4 408 2190
"51" 8.4 337 2779
"52" 9 151 1732
"53" 13.7 68 850
"54" 13.7 68 855
"55" 16.5 60 1010
"56" 13.5 68 1070
"57" 10.6 95 1075
"58" 12.9 92 1090
"59" 13.2 95 1200
"60" 14.4 92 1205
"61" 8.7 156 1275
"62" 9.4 150 1320
"63" 13.4 114 1506
"64" 12.2 120 1425
"65" 8.3 204 1660
"66" 7.9 241 1766
"67" 8.5 241 1873
"68" 8.6 200 1660
"69" 4.3 436 1461
"70" 3.8 490 1630
"71" 3.1 740 1630
"72" 11.2 85 900
"73" 14.2 69 865
"74" 12.8 75 960
"75" 11.7 84 1075
"76" 14.4 69 1015
"77" 13.6 75 1090
"78" 13.6 75 1090
"79" 16.9 60 979
"80" 8.7 134 970
"81" 16.9 60 966
"82" 14.9 70 1011
"83" 14.9 70 1030
"84" 12.5 100 1258
"85" 7.9 182 1258
"86" 12.5 95 1263
"87" 6.5 250 1362
"88" 8.6 163 1346
"89" 9.9 124 1170
"90" 2.9 700 1500
"91" 4.2 550 1520
"92" 10.3 136 1370
"93" 5.7 381 2000
"94" 6.3 445 2345
"95" 8 277 2160
"96" 7.8 299 2205
"97" 14.9 75 975
"98" 14.9 75 980
"99" 10.7 102 980
"100" 10.7 102 985
"101" 12 116 1240
"102" 12.2 105 1175
"103" 12.2 105 1190
"104" 3.3 600 1336
"105" 4.9 435 1995
"106" 4.4 629 2170
"107" 9.2 122 1295
"108" 11.3 109 1320
"109" 8.5 184 1540
"110" 7.8 211 1770
"111" 6.2 265 1760
"112" 5.4 408 1805
"113" 7.5 224 1770
"114" 8.2 204 1875
"115" 6.9 306 1835
"116" 7.1 258 1920
"117" 4.6 517 2135
"118" 4.4 629 2200
"119" 6.1 306 1660
"120" 5.2 408 1815
"121" 4.4 525 1795
"122" 4.4 557 1795
"123" 9 151 1732
"124" 13.7 68 850
"125" 13.7 68 850
"126" 16.1 60 930
"127" 13.8 68 963
"128" 13.8 68 976
"129" 8.5 200 1660
"130" 14.3 98 1271
"131" 11.4 112 1318
"132" 12.4 92 1303
"133" 7.7 200 1399
"134" 10.8 120 1287
"135" 9.6 163 1428
"136" 11.3 115 1330
"137" 8.6 156 1325
"138" 11.5 120 1315
"139" 8.2 204 1465
"140" 8.6 200 1660
"141" 4.8 350 1380
"142" 3 218 1395
"143" 6.5 380 2240
"144" 4.7 500 2170
"145" 5.9 460 2495
"146" 5.9 460 2670
"147" 5.9 460 2620
"148" 16.5 60 1095
"149" 10.8 105 1265
"150" 9.7 122 1265
"151" 11.8 105 1365
"152" 7.8 160 1305
"153" 8.4 170 1425
"154" 7.3 200 1395
"155" 16.8 61 750
"156" 8.9 102 795
"157" 16.8 54 770
"158" 15 150 1595
"159" 12 75 1136
"160" 13.1 99 1270
"161" 11.4 136 1380
"162" 9.4 147 1420
"163" 9.7 124 1530
"164" 8.9 150 1545
"165" 9.7 147 1455
"166" 10 124 1590
"167" 9.2 150 1590
"168" 12.4 190 2290
"169" 8.9 272 2625
"170" 10.4 136 1395
"171" 11.3 136 1530
"172" 11 158 1615
"173" 10.2 150 1700
"174" 10.2 158 1490
"175" 15.3 69 1005
"176" 15.3 69 1005
"177" 11.7 99 1045
"178" 10.8 90 1075
"179" 11.8 100 1120
"180" 10.6 105 1159
"181" 9.5 122 1215
"182" 11.3 105 1239
"183" 11.2 105 1337
"184" 8.1 170 1329
"185" 6.9 210 1318
"186" 10.3 122 1451
"187" 9.8 140 1532
"188" 7.6 245 2153
"189" 6.5 380 2240
